HEADER	4096	48	64	11	8
322632 | bank of america : a purchase of $ 22 . 02 at trader joe ' s # 552 was charged to your credit card ending in 9111 on 11 / 27 .	1094,2921,2270,1460,;2619,;262,1015,;3176,;2050,3407,3501,245,3788,;2157,;2348,;3348,1087,1438,1789,4067,3384,;3176,;2355,;3237,;2289,;3879,;1416,;2630,1896,1031,368,;3657,;2758,;1410,;274,;311,;498,;1789,3664,295,1513,135,;2084,;156,825,;2527,220,703,3694,;2273,698,;1450,2130,1408,1531,;2718,;2858,2834,;4048,;3031,;1886,;1222,;2289,;	0,0,1,2,2,0,0,0,0,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,	true	DEBIT	VIA_CARD	bank of america	9111	22.02		
24273 | chase : an external transfer of $ 1 , 144 . 84 from bank of america . . . 9661 was deposited to acct . . . 9384 on 04 / 29 . avail bal : $ 29 , 664 . 12 .	2707,2652,3503,;2619,;1789,4067,3384,;2157,;742,;3444,3460,2112,680,64,148,;2630,3574,143,640,1707,2738,;3176,;2355,;1820,;1483,;2596,;2289,;1033,;2746,2777,;262,1015,;3176,;2050,3407,3501,245,3788,;2289,;2289,;2289,;432,1684,;498,;1174,1805,1161,1882,351,1071,2786,;2084,;1690,3061,;2289,;2289,;2289,;135,1358,;4048,;3073,;1886,;1156,;2289,;3549,707,905,;3552,;2157,;2355,;1156,;1483,;475,;2289,;3434,;2289,;	0,0,1,0,0,0,0,0,0,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	DEBIT	VIA_BANK	chase	9384	1,144.84	29,664.12	
322632 | bank of america : a withdrawal / debit of $ 71 . 87 ( atm withdrawal # a5521 ) posted to account ending 9661 on 08 / 23 . available balance : $ 1 , 270 . 50 .	1094,2921,2270,1460,;2619,;262,1015,;3176,;2050,3407,3501,245,3788,;2157,;2348,;3579,2280,943,3041,1014,753,96,4059,;1886,;2112,3037,560,;3176,;2355,;581,;2289,;3920,;3095,;1919,;3579,2280,943,3041,1014,753,96,4059,;274,;810,311,3541,;2692,;1161,3289,869,2786,;2084,;1690,2724,3958,3917,1642,;1450,2130,1408,1531,;432,1684,;4048,;1461,;1886,;2834,;2289,;3549,707,905,3163,756,1106,3658,;3552,2675,16,1887,3081,;2157,;2355,;1820,;1483,;3906,;2289,;160,;2289,;	0,0,1,2,2,0,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	DEBIT	VIA_BANK	bank of america	9661	71.87	1,270.50	
692484 | citi : a debit card purchase of $ 46 . 75 at h - e - b 331 posted to your account ending 6208 on 06 / 14 . available balance : $ 2 , 239 . 05 .	390,2226,2641,1839,;2619,;2703,2683,;2157,;2348,;2112,3037,560,;2273,698,;3348,1087,1438,1789,4067,3384,;3176,;2355,;3023,;2289,;3065,;1416,;1879,;1080,;736,;1080,;3557,;1942,;1161,3289,869,2786,;2084,;156,825,;1690,2724,3958,3917,1642,;1450,2130,1408,1531,;3715,2757,;4048,;2267,;1886,;1016,;2289,;3549,707,905,3163,756,1106,3658,;3552,2675,16,1887,3081,;2157,;2355,;3029,;1483,;1201,;2289,;2670,;2289,;	0,0,1,0,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	DEBIT	VIA_CARD	citi	6208	46.75	2,239.05	
322632 | bank of america : an authorized user purchase of $ 49 . 90 at ulta beauty 220 on card ending 3040 was charged to your account ending 9111 on 05 / 29 .	1094,2921,2270,1460,;2619,;262,1015,;3176,;2050,3407,3501,245,3788,;2157,;742,;957,2380,474,1198,23,714,1517,244,;1268,117,;3348,1087,1438,1789,4067,3384,;3176,;2355,;942,;2289,;2252,;1416,;2496,2660,;563,914,957,1039,;3727,;4048,;2273,698,;1450,2130,1408,1531,;2790,291,;498,;1789,3664,295,1513,135,;2084,;156,825,;1690,2724,3958,3917,1642,;1450,2130,1408,1531,;2858,2834,;4048,;2670,;1886,;1156,;2289,;	0,0,1,2,2,0,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,	true	DEBIT	VIA_CARD	bank of america	3040	49.90		
93557 | wells fargo : you made a purchase of $ 58 . 95 at sprouts farmers mkt with debit card ending 9111 on 08 / 13 . available balance : $ 5 , 458 . 31 .	3088,544,2392,;2619,;799,664,1634,;2542,295,3931,;2157,;156,;3885,1031,;2348,;3348,1087,1438,1789,4067,3384,;3176,;2355,;3384,;2289,;1043,;1416,;204,344,161,1631,973,;2542,1973,247,3407,1215,;1319,;3579,2280,;2112,3037,560,;2273,698,;1450,2130,1408,1531,;2858,2834,;4048,;1461,;1886,;3837,;2289,;3549,707,905,3163,756,1106,3658,;3552,2675,16,1887,3081,;2157,;2355,;208,;1483,;1198,;2289,;777,;2289,;	0,0,1,2,0,0,0,0,0,0,0,5,6,6,0,9,10,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	DEBIT	VIA_CARD	wells fargo	9111	58.95	5,458.31	sprouts farmers mkt
24273 | chase : you made a $ 41 . 85 debit card purchase with card ending 7761 at chipotle 1187 on 05 / 13 . avail bal : $ 36 , 476 . 23 .	2707,2652,3503,;2619,;1789,4067,3384,;2157,;156,;3885,1031,;2348,;2355,;1814,;2289,;630,;2112,3037,560,;2273,698,;3348,1087,1438,1789,4067,3384,;3579,2280,;2273,698,;1450,2130,1408,1531,;127,1763,;1416,;2661,606,3657,1564,182,1448,;2365,2817,;4048,;2670,;1886,;3837,;2289,;3549,707,905,;3552,;2157,;2355,;1180,;1483,;3518,;2289,;2834,;2289,;	0,0,1,0,0,0,0,0,5,6,6,0,0,0,0,0,0,3,0,9,10,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	DEBIT	VIA_CARD	chase	7761	41.85	36,476.23	chipotle 1187
692484 | citi : an ach credit of $ 412 . 00 from austin isd rebate posted to your account ending 6208 on 08 / 06 . available balance : $ 1 , 972 . 55 .	390,2226,2641,1839,;2619,;2703,2683,;2157,;742,;2159,;2527,220,703,3694,;3176,;2355,;3500,;2289,;589,;2746,2777,;2232,3415,2481,3760,;3811,;3510,3909,936,1047,;1161,3289,869,2786,;2084,;156,825,;1690,2724,3958,3917,1642,;1450,2130,1408,1531,;3715,2757,;4048,;1461,;1886,;2267,;2289,;3549,707,905,3163,756,1106,3658,;3552,2675,16,1887,3081,;2157,;2355,;1820,;1483,;1617,;2289,;2175,;2289,;	0,0,1,0,0,0,0,0,0,5,6,6,0,9,10,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	CREDIT	VIA_BANK	citi	6208	412.00	1,972.55	austin isd rebate
24273 | chase : your transfer of $ 1 , 000 . 00 from checking . . . 9384 to savings . . . 5520 is complete on 04 / 13 . checking avail bal : $ 27 , 708 . 52 .	2707,2652,3503,;2619,;1789,4067,3384,;2157,;156,825,;2630,3574,143,640,1707,2738,;3176,;2355,;1820,;1483,;2759,;2289,;589,;2746,2777,;177,2127,3350,406,2805,1531,;2289,;2289,;2289,;135,1358,;2084,;1533,325,138,1531,963,;2289,;2289,;2289,;311,3138,;3861,;734,1019,2844,1492,1018,2779,;4048,;3073,;1886,;3837,;2289,;177,2127,3350,406,2805,1531,;3549,707,905,;3552,;2157,;2355,;1222,;1483,;2366,;2289,;966,;2289,;	0,0,1,0,0,0,0,0,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	DEBIT	VIA_BANK	chase		1,000.00	27,708.52	
24273 | chase : you made a $ 149 . 00 debit card purchase with card ending 7761 at delta air lines on 03 / 09 . avail bal : $ 19 , 717 . 20 .	2707,2652,3503,;2619,;1789,4067,3384,;2157,;156,;3885,1031,;2348,;2355,;2259,;2289,;589,;2112,3037,560,;2273,698,;3348,1087,1438,1789,4067,3384,;3579,2280,;2273,698,;1450,2130,1408,1531,;127,1763,;1416,;3658,3888,2660,;2583,;1528,2337,3165,;4048,;3476,;1886,;1058,;2289,;3549,707,905,;3552,;2157,;2355,;3903,;1483,;2422,;2289,;2431,;2289,;	0,0,1,0,0,0,0,0,5,6,6,0,0,0,0,0,0,3,0,9,10,10,0,0,0,0,0,0,0,0,0,7,8,8,8,8,0,	true	DEBIT	VIA_CARD	chase	7761	149.00	19,717.20	delta air lines
